PROXIMITY_UUID,MAJOR,MINOR,MSD_POWER,Latitude,Longitude, Floor, height
f7826da6-4fa2-4e98-8024-bc5b71e0893e,33697,17138,-77,38.63340344294790,-90.31545088539270,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,9874,62907,-77,38.63330602834000,-90.31542997005360,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,30740,22046,-77,38.63336156683560,-90.31533653817380,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,8275,44487,-77,38.63330152221000,-90.31534767497730,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,28584,30205,-77,38.63335005682820,-90.31521262943860,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,7500,13439,-77,38.63329236786910,-90.31522601760160,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,22059,51394,-77,38.63320707982320,-90.31525763026720,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,22797,57382,-77,38.63314860331600,-90.31535137062260,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,10048,33090,-77,38.63307148783170,-90.31545396417120,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55421,44672,-77,38.63305943652410,-90.31531531277320,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,59736,4249,-77,38.63348120444660,-90.31512638111050,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,61901,15483,-77,38.63344565348360,-90.31488867684700,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,44708,50119,-77,38.63338712632680,-90.31472045854300,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,10437,13476,-77,38.63337458058350,-90.31450848108470,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,17538,10239,-77,38.63330196961490,-90.31448192152230,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,16594,16800,-77,38.63297911772050,-90.31502437114510,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,62401,57498,-77,38.63304675802420,-90.31495900930010,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,46313,35794,-77,38.63300593259830,-90.31475859602200,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,56955,63250,-77,38.63298853990630,-90.31457766548470,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,57682,19589,-77,38.63292375653370,-90.31461788745710,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,64243,56354,-77,38.63298461261610,-90.31479528795680,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,4314,27488,-77,38.63299841837380,-90.31494550583150,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,46901,37831,-77,38.63332689491650,-90.31511630652750,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,14222,260,-77,38.63329564982140,-90.31507336213090,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,23586,23566,-77,38.63332299579740,-90.31505354594140,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,33630,65429,-77,38.63330218575070,-90.31502572945610,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,5050,64136,-77,38.63331605662100,-90.31498539333200,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,21008,63834,-77,38.63325155739360,-90.31496050077890,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,40312,19417,-77,38.63324594748180,-90.31490725078730,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,17596,49791,-77,38.63323141094000,-90.31508042946760,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,45741,41589,-77,38.63311623995310,-90.31509776465530,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,36456,31542,-77,38.63310945424250,-90.31508823075490,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55347,6203,-77,38.63322793338750,-90.31504260824210,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,18078,6017,-77,38.63322646842610,-90.31502782292280,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,6241,313,-77,38.63322283526000,-90.31498867023170,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,52846,58146,-77,38.63321999003310,-90.31496517802680,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,41182,24937,-77,38.63310647666710,-90.31502675061420,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,40602,55229,-77,38.63309127479780,-90.31501584686970,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,20217,63408,-77,38.63308457598730,-90.31494697187080,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,52081,45746,-77,38.63308305830530,-90.31493213217630,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,58970,38042,-77,38.63333922178730,-90.31486955669080,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,58844,62778,-77,38.63333683357670,-90.31483228201160,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,21183,15615,-77,38.63307725211000,-90.31487244298410,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,42472,43023,-77,38.63307560108370,-90.31485695726550,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,29731,24036,-77,38.63333261095950,-90.31479265732550,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,2543,921,-77,38.63332965879750,-90.31475412555870,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,42247,9853,-77,38.63307037907670,-90.31479432134470,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,58589,34273,-77,38.63306885703160,-90.31477932844820,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,34199,59706,-77,38.63332822213370,-90.31473918423340,1,2
f7826da6-4fa2-4e98-8024-bc5b71e0893e,20357,56955,-77,38.63332405032680,-90.31470133111600,1,2
