Find beacons place tool, version  1.0.0
Windows
C:\Users\vpentyukhov\Development\InvenSenseInc\Gift\Tools\proximity_beacons_place_finding
major,  minor,  ble_prox_hash,  x_calc,  y_calc,  x_expected,  y_expected,  distance,  iter_number,  number of ceils
 2543 ,   921 ,  166658969 ,  89.35588880255995 ,  65.60394342457998 ,  94.3122859166143 ,  63.474703402678536 ,  5.3943985228265445 ,  10 ,  5
 5050 ,   64136 ,  331020936 ,  77.09908265215039 ,  61.02958203061799 ,  74.51656428904822 ,  59.62138153628679 ,  2.941501271118972 ,  8 ,  4
 6241 ,   313 ,  409010489 ,  75.5688436963263 ,  50.622448322325496 ,  75.44449024202423 ,  49.316590767035976 ,  1.3117651223841789 ,  9 ,  3
 14222 ,   260 ,  932053252 ,  68.81053201562597 ,  58.744371994844 ,  67.18461003914004 ,  56.477264420655985 ,  2.789874374691552 ,  9 ,  3
 15269 ,   29890 ,  1000699074 ,  112.78918022470098 ,  33.919029660429665 ,  105.58520471982014 ,  34.45960983330448 ,  7.224229370543863 ,  9 ,  4
 15845 ,   32927 ,  1038450847 ,  103.7020087183923 ,  58.119877968777764 ,  104.35684217828911 ,  58.45757671321903 ,  0.7367817195055995 ,  11 ,  1
 17538 ,   10239 ,  1149380607 ,  117.59992730939952 ,  64.29714308912423 ,  118.17964923922193 ,  63.19519271019375 ,  1.24513941128777 ,  200 ,  2
 17596 ,   49791 ,  1153221247 ,  65.8864718217524 ,  50.459008368430496 ,  67.40871706536277 ,  49.32726469499689 ,  1.896859068052075 ,  7 ,  3
 18078 ,   6017 ,  1184765825 ,  74.17625229602527 ,  50.13731709255993 ,  72.01604874504615 ,  49.31828205969672 ,  2.3102592423189305 ,  10 ,  3
 20217 ,   63408 ,  1325004720 ,  79.70774602042422 ,  32.69363248005103 ,  80.84153463315153 ,  34.5072822477666 ,  2.1388787011620902 ,  200 ,  2
 20357 ,   56955 ,  1334173307 ,  103.81730164511882 ,  65.15545961499953 ,  98.94449516195965 ,  63.394256546447416 ,  5.181320224710627 ,  11 ,  3
 21008 ,   63834 ,  1376844122 ,  77.41516453984255 ,  54.143179268316295 ,  77.50412655244367 ,  52.76808706325127 ,  1.3779669125623548 ,  200 ,  2
 21183 ,   15615 ,  1388264703 ,  85.35636378737627 ,  34.797509152675616 ,  87.37302492423116 ,  34.45910978896655 ,  2.0448560512318634 ,  6 ,  4
 23586 ,   23566 ,  1545755662 ,  68.69320087492123 ,  60.64037368540552 ,  68.54072992465555 ,  59.692084768113446 ,  0.9604682510806359 ,  7 ,  5
 24646 ,   44958 ,  1615245214 ,  102.42255851373409 ,  39.348916948838955 ,  100.91714875550255 ,  37.63687807177549 ,  2.279766579445242 ,  200 ,  2
