Find beacons place tool, version  1.0.0
Windows
C:\Users\vpentyukhov\Development\InvenSenseInc\Gift\Tools\proximity_beacons_place_finding
major,  minor,  ble_prox_hash,  x_calc,  y_calc,  x_expected,  y_expected,  distance,  iter_number,  number of ceils
 2543 ,   921 ,  166658969 ,  45.90020884794339 ,  51.23528327377573 ,  94.3122859166143 ,  63.474703402678536 ,  49.93528423063919 ,  30 ,  18
 4314 ,   27488 ,  282749792 ,  82.08722734558503 ,  25.028608862945106 ,  82.08730716090271 ,  25.029086740698407 ,  0.0004844972982751649 ,  1 ,  1
 5050 ,   64136 ,  331020936 ,  63.860017083247165 ,  57.42075616602867 ,  74.51656428904822 ,  59.62138153628679 ,  10.881394688627463 ,  10 ,  10
 6241 ,   313 ,  409010489 ,  60.23782952915394 ,  51.82397717146544 ,  75.44449024202423 ,  49.316590767035976 ,  15.41199262319673 ,  129 ,  7
 7500 ,   13439 ,  491533439 ,  54.81792330221545 ,  54.09972213645954 ,  54.04383250981879 ,  54.56142786517688 ,  0.901326097926657 ,  11 ,  1
 8275 ,   44487 ,  542354887 ,  27.80114158761087 ,  39.789587929048594 ,  43.41852311701058 ,  54.33146064768332 ,  21.339368969109845 ,  125 ,  4
 9874 ,   62907 ,  647165371 ,  27.573597138935803 ,  50.688902808733495 ,  36.25294227160007 ,  53.99009532450015 ,  9.285951968325955 ,  62 ,  4
 10048 ,   33090 ,  658538818 ,  35.80497053417823 ,  29.641543846486698 ,  37.227416349101276 ,  27.903381860154195 ,  2.24600961420993 ,  12 ,  3
 10437 ,   13476 ,  684012708 ,  116.1448980755675 ,  69.31508551366193 ,  114.94275377875806 ,  70.92529258305555 ,  2.009457070125326 ,  12 ,  1
 14222 ,   260 ,  932053252 ,  66.98206513026905 ,  55.82045884525806 ,  67.18461003914004 ,  56.477264420655985 ,  0.6873267083297123 ,  11 ,  1
 15269 ,   29890 ,  1000699074 ,  83.24906782764252 ,  44.90204748820517 ,  105.58520471982014 ,  34.45960983330448 ,  24.656591723970813 ,  28 ,  4
 15845 ,   32927 ,  1038450847 ,  57.33426083875798 ,  47.02104824323861 ,  104.35684217828911 ,  58.45757671321903 ,  48.39336048754513 ,  200 ,  4
 16594 ,   16800 ,  1087521184 ,  50.19884559117293 ,  25.338365981357864 ,  75.52716629091336 ,  22.099533047906007 ,  25.534562229255304 ,  33 ,  4
 17538 ,   10239 ,  1149380607 ,  119.66122401771113 ,  68.44327481129355 ,  118.17964923922193 ,  63.19519271019375 ,  5.453203605600968 ,  200 ,  3
 17596 ,   49791 ,  1153221247 ,  49.4982205369139 ,  47.50019148864738 ,  67.40871706536277 ,  49.32726469499689 ,  18.003446403312317 ,  200 ,  6
