calc log timestamp   x1       y1       reference log timestamp   x2    y2     error( sqrt( (x1-x2)^2 + (y1-y2)^2 ))
1461761458319.00000  19.93420  11.51560  1461761458319.00000  19.96415  11.82595  0.31179
1461761459139.00000  18.88930  11.32840  1461761459139.00000  18.86313  11.74612  0.41854
1461761459719.00000  18.12470  11.28460  1461761459719.00000  18.08136  11.72502  0.44255
1461761460279.00000  17.39660  11.27650  1461761460279.00000  17.32979  11.71463  0.44320
1461761460779.00000  16.73990  11.29710  1461761460779.00000  16.66313  11.72850  0.43818
1461761461279.00000  16.09150  11.31540  1461761461279.00000  15.99704  11.75711  0.45170
1461761461819.00000  15.38500  11.33760  1461761461819.00000  15.27388  11.77639  0.45265
1461761462319.00000  14.72840  11.35570  1461761462319.00000  14.60843  11.79205  0.45254
1461761462979.00000  13.91320  11.36490  1461761462979.00000  13.80059  11.80000  0.44944
1461761463579.00000  13.16500  11.36750  1461761463579.00000  13.04567  11.77528  0.42488
1461761464079.00000  12.55040  11.36860  1461761464079.00000  12.43557  11.73432  0.38332
1461761464579.00000  11.89950  11.37790  1461761464579.00000  11.79167  11.71083  0.34996
1461761465079.00000  11.25220  11.38520  1461761465079.00000  11.14066  11.66898  0.30492
1461761465579.00000  10.58030  11.40140  1461761465579.00000  10.46824  11.66036  0.28217
1461761466179.00000  9.79560  11.42060  1461761466179.00000  9.67523  11.66000  0.26796
1461761466679.00000  9.14790  11.44000  1461761466679.00000  9.02345  11.66000  0.25276
1461761467179.00000  8.57100  11.44670  1461761467179.00000  8.44215  11.65235  0.24268
1461761467679.00000  7.91000  11.46640  1461761467679.00000  7.78139  11.66330  0.23518
1461761468179.00000  7.27540  11.48780  1461761468179.00000  7.13950  11.68100  0.23621
1461761468679.00000  6.63550  11.51120  1461761468679.00000  6.49991  11.70280  0.23473
1461761469179.00000  5.94790  11.51920  1461761469179.00000  5.83236  11.72309  0.23435
1461761469759.00000  5.19610  11.52240  1461761469759.00000  5.09014  11.73926  0.24136
1461761470259.00000  4.61400  11.52610  1461761470259.00000  4.50052  11.76341  0.26305
1461761470939.00000  3.80130  11.53240  1461761470939.00000  3.68902  11.78711  0.27836
1461761471479.00000  3.21020  11.53810  1461761471479.00000  3.10293  11.77315  0.25837
1461761471979.00000  2.75370  11.49160  1461761471979.00000  2.65521  11.67815  0.21095
1461761472479.00000  2.39650  11.37530  1461761472479.00000  2.30844  11.47653  0.13418
1461761472979.00000  1.88060  11.17600  1461761472979.00000  1.82865  11.10810  0.08549
1461761473479.00000  1.14010  10.69860  1461761473479.00000  1.21133  10.51535  0.19661
1461761473979.00000  0.63120  10.09260  1461761473979.00000  0.79503  9.84035  0.30078
1461761474479.00000  0.45120  9.46210  1461761474479.00000  0.66178  9.19359  0.34124
1461761474979.00000  0.40620  8.86460  1461761474979.00000  0.64272  8.60602  0.35044
1461761475479.00000  0.40540  8.24530  1461761475479.00000  0.65997  8.01119  0.34585
1461761475979.00000  0.40330  7.72190  1461761475979.00000  0.65266  7.51100  0.32659
1461761476479.00000  0.40850  7.13680  1461761476479.00000  0.65613  6.94965  0.31040
1461761476979.00000  0.42410  6.60460  1461761476979.00000  0.65350  6.43700  0.28410

average error = 0.70883
