calc log timestamp   x1       y1       reference log timestamp   x2    y2     error( sqrt( (x1-x2)^2 + (y1-y2)^2 ))
1461761448699.00000  22.96150  11.60070  1461761448699.00000  22.39562  11.73298  0.58114
1461761449199.00000  23.19420  11.08670  1461761449199.00000  22.58337  11.23916  0.62957
1461761449699.00000  23.33360  10.58860  1461761449699.00000  22.67208  10.69077  0.66936
1461761450199.00000  23.34440  10.10370  1461761450199.00000  22.64872  10.09157  0.69578
1461761450699.00000  23.32800  9.64020  1461761450699.00000  22.59810  9.50315  0.74266
1461761451199.00000  23.32470  9.11470  1461761451199.00000  22.53821  8.94334  0.80494
1461761451699.00000  23.29120  8.66890  1461761451699.00000  22.44647  8.40781  0.88416
1461761452199.00000  23.18520  8.24950  1461761452199.00000  22.27711  7.89168  0.97604
1461761453019.00000  22.71140  8.07220  1461761453019.00000  21.74800  7.75850  1.01319
1461761453519.00000  22.54690  8.27110  1461761453519.00000  21.57153  7.92026  1.03655
1461761454019.00000  22.58810  8.77650  1461761454019.00000  21.64977  8.40561  1.00897
1461761454519.00000  22.65830  9.39150  1461761454519.00000  21.79450  9.05400  0.92739
1461761455019.00000  22.76560  10.05930  1461761455019.00000  21.96395  9.78146  0.84843
1461761455519.00000  22.84240  10.65780  1461761455519.00000  22.08939  10.46729  0.77673
1461761456019.00000  22.71970  11.24170  1461761456019.00000  22.02416  11.10083  0.70967
1461761456519.00000  22.51590  11.64090  1461761456519.00000  21.82103  11.62427  0.69507
1461761457319.00000  21.79960  11.94550  1461761457319.00000  21.08859  12.03511  0.71663
1461761457819.00000  21.29510  11.82900  1461761457819.00000  20.53915  11.96762  0.76855
1461761458319.00000  20.82590  11.60320  1461761458319.00000  19.96415  11.82595  0.89007
1461761459139.00000  19.81690  11.42240  1461761459139.00000  18.86313  11.74612  1.00722
1461761459719.00000  19.11260  11.30940  1461761459719.00000  18.08136  11.72502  1.11185
1461761460279.00000  18.44810  11.21660  1461761460279.00000  17.32979  11.71463  1.22420
1461761460779.00000  17.82640  11.16450  1461761460779.00000  16.66313  11.72850  1.29279
